0	1	2	3	4	5	6	7	8
93.56	64.0	175.0	1023.0	1023.0	0.0	296.0	0.0	296.0
93.58	66.0	178.0	1023.0	1023.0	0.0	303.0	0.0	303.0
93.6	60.0	162.0	1023.0	1023.0	0.0	358.0	0.0	358.0
93.62	65.0	181.0	1023.0	1023.0	0.0	326.0	0.0	326.0
93.64	62.0	173.0	1023.0	1023.0	0.0	346.0	0.0	346.0
93.66	62.0	178.0	1023.0	1023.0	0.0	364.0	0.0	364.0
93.68	62.0	182.0	1023.0	1023.0	0.0	333.0	0.0	333.0
93.7	59.0	170.0	1023.0	1023.0	0.0	371.0	0.0	371.0
93.72	64.0	191.0	1023.0	1023.0	0.0	310.0	0.0	310.0
93.74	59.0	176.0	1023.0	1023.0	0.0	331.0	0.0	331.0
93.76	58.0	178.0	1023.0	1023.0	0.0	310.0	0.0	310.0
93.78	59.0	181.0	1023.0	1023.0	0.0	300.0	0.0	300.0
93.8	54.0	173.0	1023.0	1023.0	0.0	311.0	0.0	311.0
93.82	56.0	178.0	1023.0	1023.0	0.0	283.0	0.0	283.0
93.84	52.0	172.0	1023.0	1023.0	0.0	287.0	0.0	287.0
93.86	53.0	171.0	1023.0	1023.0	0.0	268.0	0.0	268.0
93.88	54.0	182.0	1023.0	1023.0	0.0	299.0	0.0	299.0
93.9	51.0	171.0	1023.0	1023.0	0.0	327.0	0.0	327.0
93.92	52.0	183.0	1023.0	1023.0	0.0	231.0	0.0	231.0
93.94	47.0	166.0	1023.0	1023.0	0.0	266.0	0.0	266.0
93.96	47.0	165.0	1023.0	1023.0	0.0	319.0	0.0	319.0
93.98	52.0	184.0	1023.0	1023.0	0.0	345.0	0.0	345.0
94.0	44.0	161.0	1023.0	1023.0	0.0	316.0	0.0	316.0
94.02	49.0	180.0	1023.0	1023.0	0.0	377.0	0.0	377.0
94.04	46.0	170.0	1023.0	1023.0	0.0	425.0	0.0	425.0
94.06	48.0	175.0	1023.0	1023.0	0.0	431.0	0.0	431.0
94.08	50.0	181.0	1023.0	1023.0	0.0	419.0	0.0	419.0
94.1	48.0	172.0	1023.0	1023.0	0.0	490.0	0.0	490.0
94.12	51.0	183.0	1023.0	1023.0	0.0	429.0	0.0	429.0
94.14	49.0	174.0	1023.0	1023.0	0.0	485.0	0.0	485.0
94.16	48.0	171.0	1023.0	1023.0	0.0	457.0	0.0	457.0
94.18	52.0	181.0	1023.0	1023.0	0.0	423.0	0.0	423.0
94.2	48.0	163.0	1023.0	1023.0	0.0	436.0	0.0	436.0
94.22	52.0	173.0	1023.0	1023.0	0.0	353.0	0.0	353.0
94.24	50.0	159.0	1023.0	1023.0	0.0	286.0	0.0	286.0
